number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_max_depth,params_max_features,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,state
0,0.2727721958046533,2026-07-12 19:29:44.151119,2026-07-12 19:29:45.026498,0 days 00:00:00.875379,0.0033304077170151175,entropy,10,0.7210228991292947,0.008221332595973593,10,2,COMPLETE
1,0.304693081642573,2026-07-12 19:29:45.026885,2026-07-12 19:29:45.845166,0 days 00:00:00.818281,2.940091896576791e-05,entropy,7,0.498145849215978,0.006604047017652632,13,12,COMPLETE
2,0.2768794619100288,2026-07-12 19:29:45.845428,2026-07-12 19:29:46.931676,0 days 00:00:01.086248,0.00311860643048804,entropy,15,0.9730130896246926,0.008327144783579224,17,19,COMPLETE
3,0.3008286894344333,2026-07-12 19:29:46.931951,2026-07-12 19:29:47.732044,0 days 00:00:00.800093,0.004151897970677431,gini,4,0.4175711180192375,0.0037486770362340585,20,5,COMPLETE
4,0.3329164382779533,2026-07-12 19:29:47.732488,2026-07-12 19:29:48.759892,0 days 00:00:01.027404,0.0017562089169413293,gini,5,0.607548942379309,0.0006033566712171479,2,10,COMPLETE
5,0.34204899236616504,2026-07-12 19:29:48.760211,2026-07-12 19:29:49.850232,0 days 00:00:01.090021,0.0005204992476010423,entropy,11,0.70661694841967,0.001928040092186316,19,19,COMPLETE
6,0.357053866508398,2026-07-12 19:29:49.850474,2026-07-12 19:29:50.937413,0 days 00:00:01.086939,0.00011108153429981282,entropy,15,0.5540001071065033,0.000863187585824422,8,9,COMPLETE
7,0.2727721958046533,2026-07-12 19:29:50.937739,2026-07-12 19:29:51.857983,0 days 00:00:00.920244,0.003558462859578202,gini,4,0.8166672978677046,0.0060238902436592166,5,12,COMPLETE
8,0.3462338258321371,2026-07-12 19:29:51.859778,2026-07-12 19:29:53.004142,0 days 00:00:01.144364,0.0002013082210109496,entropy,13,0.7893319665243175,0.0019286288551555375,14,20,COMPLETE
9,0.29214784475653827,2026-07-12 19:29:53.004393,2026-07-12 19:29:53.792972,0 days 00:00:00.788579,0.003595947743261899,gini,6,0.4463691761489407,0.005587048688706163,14,19,COMPLETE
10,0.2768794619100288,2026-07-12 19:29:53.793200,2026-07-12 19:29:54.858161,0 days 00:00:01.064961,0.004949968841939835,entropy,9,0.9986488598913431,0.009612869287345192,6,8,COMPLETE
11,0.3627137714106178,2026-07-12 19:29:54.858379,2026-07-12 19:29:56.547130,0 days 00:00:01.688751,0.0011206069201098593,entropy,15,0.8263402898569354,7.85342834794515e-05,9,15,COMPLETE
12,0.35001469876773933,2026-07-12 19:29:56.547546,2026-07-12 19:29:57.837839,0 days 00:00:01.290293,0.0013330508089084388,entropy,15,0.5809474998584775,0.00014571814480109568,9,15,COMPLETE
13,0.34404427554343714,2026-07-12 19:29:57.838080,2026-07-12 19:29:59.069024,0 days 00:00:01.230944,0.0012732755286116323,entropy,13,0.8918451273889413,0.002118769239113098,9,15,COMPLETE
14,0.3263575067023611,2026-07-12 19:29:59.069281,2026-07-12 19:30:00.061191,0 days 00:00:00.991910,0.0023137817666809327,entropy,13,0.5735153279009381,0.003607458843646549,6,7,COMPLETE
15,0.36536702735459403,2026-07-12 19:30:00.061528,2026-07-12 19:30:01.497451,0 days 00:00:01.435923,0.0008889854878904212,entropy,15,0.6621854949832484,8.673315325838154e-05,11,16,COMPLETE
16,0.32810326270165846,2026-07-12 19:30:01.499553,2026-07-12 19:30:02.544908,0 days 00:00:01.045355,0.000914226714023938,entropy,12,0.6849874701368204,0.003349487902100534,12,16,COMPLETE
17,0.34108282453844185,2026-07-12 19:30:02.545247,2026-07-12 19:30:03.785774,0 days 00:00:01.240527,0.002211199637898717,entropy,15,0.8349504067641271,0.0012063814417377808,3,17,COMPLETE
18,0.31844765648658563,2026-07-12 19:30:03.786045,2026-07-12 19:30:05.483377,0 days 00:00:01.697332,0.0020642370023749848,gini,14,0.9022630587875788,4.80558853132135e-05,11,13,COMPLETE
19,0.32703506840431257,2026-07-12 19:30:05.483741,2026-07-12 19:30:06.465257,0 days 00:00:00.981516,0.0008589622845524018,entropy,11,0.6514099137313888,0.002705300738594157,16,14,COMPLETE
20,0.32548722769706256,2026-07-12 19:30:06.465510,2026-07-12 19:30:07.460145,0 days 00:00:00.994635,0.0027213506481765424,entropy,8,0.7588531911444814,0.004903635988924296,7,17,COMPLETE
21,0.35519660107776385,2026-07-12 19:30:07.460430,2026-07-12 19:30:08.464381,0 days 00:00:01.003951,0.000628905585599101,entropy,14,0.5166925851138677,0.0011397379774624574,8,10,COMPLETE
22,0.3440340979792448,2026-07-12 19:30:08.466419,2026-07-12 19:30:09.543211,0 days 00:00:01.076792,0.0015162158274240063,entropy,14,0.6360539970088335,0.0013210745124488871,11,10,COMPLETE
23,0.38183029867920126,2026-07-12 19:30:09.543901,2026-07-12 19:30:11.085961,0 days 00:00:01.542060,0.00039954049998746364,entropy,15,0.5216845702664844,1.0688685127469965e-05,4,2,COMPLETE
24,0.36234674747918094,2026-07-12 19:30:11.086198,2026-07-12 19:30:12.519767,0 days 00:00:01.433569,0.0010587083520885569,entropy,12,0.5173829867987036,1.1035388902618813e-05,4,3,COMPLETE
25,0.3432078215075995,2026-07-12 19:30:12.520034,2026-07-12 19:30:13.667914,0 days 00:00:01.147880,0.0005011637178897178,entropy,14,0.7492352330376248,0.00236540855793746,1,5,COMPLETE
26,0.32325860521618854,2026-07-12 19:30:13.670042,2026-07-12 19:30:14.955116,0 days 00:00:01.285074,0.0017883943753848296,gini,12,0.886652218901439,0.000864931596346409,4,6,COMPLETE
27,0.3402601520498344,2026-07-12 19:30:14.955417,2026-07-12 19:30:15.931233,0 days 00:00:00.975816,0.0006219820268703448,entropy,15,0.4594605858664265,0.0014203609953381078,15,17,COMPLETE
28,0.3236241973528028,2026-07-12 19:30:15.931543,2026-07-12 19:30:16.948113,0 days 00:00:01.016570,0.0010964592651923567,entropy,13,0.6582791828621832,0.003111681176326033,12,12,COMPLETE
29,0.35480432892004243,2026-07-12 19:30:16.949269,2026-07-12 19:30:18.360149,0 days 00:00:01.410880,0.001520921922875335,entropy,10,0.6956950779940942,0.0005195726887914191,10,3,COMPLETE
30,0.31461808790669704,2026-07-12 19:30:18.360458,2026-07-12 19:30:19.622470,0 days 00:00:01.262012,0.0003442796819269528,entropy,14,0.9437923332434378,0.004305056487117317,7,2,COMPLETE
31,0.35560350149150527,2026-07-12 19:30:19.622744,2026-07-12 19:30:21.106754,0 days 00:00:01.484010,0.0009518560083889499,entropy,12,0.5061734879356143,5.638678728650091e-05,4,3,COMPLETE
32,0.3693621402763162,2026-07-12 19:30:21.107070,2026-07-12 19:30:22.783898,0 days 00:00:01.676828,0.0007481420159039388,entropy,11,0.5436589572290482,2.4141990577376857e-05,1,2,COMPLETE
33,0.3518754899838073,2026-07-12 19:30:22.784252,2026-07-12 19:30:24.000780,0 days 00:00:01.216528,0.000786669674788988,entropy,9,0.5517406692511897,0.0016196590349892783,3,2,COMPLETE
34,0.3658153081970851,2026-07-12 19:30:24.002272,2026-07-12 19:30:25.035451,0 days 00:00:01.033179,7.723225594999004e-05,entropy,11,0.4077663466826724,0.00060661846672923,1,5,COMPLETE
35,0.3699025688304241,2026-07-12 19:30:25.035884,2026-07-12 19:30:26.109549,0 days 00:00:01.073665,0.00020627313627624992,entropy,10,0.4648825404580556,0.0005314405180561856,1,4,COMPLETE
36,0.30492863630929545,2026-07-12 19:30:26.109879,2026-07-12 19:30:26.922653,0 days 00:00:00.812774,9.282635576916002e-05,gini,10,0.41841586940182557,0.0025779703792249697,1,5,COMPLETE
37,0.3582274418197439,2026-07-12 19:30:26.923076,2026-07-12 19:30:27.963937,0 days 00:00:01.040861,0.0002785170064817582,entropy,8,0.47079857052694435,0.0007207721989904137,2,4,COMPLETE
38,0.3472780230165388,2026-07-12 19:30:27.964247,2026-07-12 19:30:28.903097,0 days 00:00:00.938850,7.28695333153196e-06,entropy,11,0.4237074172654768,0.0017503132862091671,2,4,COMPLETE
39,0.2997330672250212,2026-07-12 19:30:28.903359,2026-07-12 19:30:29.734886,0 days 00:00:00.831527,0.00042253826202122153,gini,9,0.48312591121757686,0.007262613345081773,1,6,COMPLETE
40,0.3630746822402274,2026-07-12 19:30:29.735165,2026-07-12 19:30:30.679534,0 days 00:00:00.944369,0.0005794492035719824,entropy,8,0.4015129352698459,0.0006243936192094718,3,4,COMPLETE
41,0.36320260904028423,2026-07-12 19:30:30.681136,2026-07-12 19:30:31.765522,0 days 00:00:01.084386,0.0007674375487765138,entropy,10,0.5405169728100621,0.0005500703449717866,1,2,COMPLETE
42,0.3582361679854093,2026-07-12 19:30:31.766179,2026-07-12 19:30:32.848050,0 days 00:00:01.081871,0.0003262668057734877,entropy,11,0.608824308110397,0.0010455614563803293,19,6,COMPLETE
43,0.3716507846781224,2026-07-12 19:30:32.848281,2026-07-12 19:30:33.879844,0 days 00:00:01.031563,5.799049479111081e-05,entropy,7,0.4426587272475585,0.0005234430323813542,5,8,COMPLETE
44,0.29344710540132724,2026-07-12 19:30:33.880281,2026-07-12 19:30:34.637069,0 days 00:00:00.756788,1.6539436517500896e-05,entropy,3,0.4482176763721589,0.0016144078034214986,5,7,COMPLETE
45,0.3643528540486295,2026-07-12 19:30:34.638522,2026-07-12 19:30:35.645452,0 days 00:00:01.006930,0.0002703170842668762,entropy,6,0.49031384233483616,0.0006213949273204588,2,9,COMPLETE
46,0.3267375149860315,2026-07-12 19:30:35.645746,2026-07-12 19:30:36.575975,0 days 00:00:00.930229,0.0005235913290848008,entropy,7,0.43651674635450954,0.0021888311666934243,5,3,COMPLETE
47,0.34152887376513635,2026-07-12 19:30:36.576230,2026-07-12 19:30:37.569631,0 days 00:00:00.993401,0.00020172885537447392,gini,5,0.5359553668091546,0.0009921933926749092,3,7,COMPLETE
48,0.3161164364630927,2026-07-12 19:30:37.569879,2026-07-12 19:30:38.699343,0 days 00:00:01.129464,0.004729616110255508,entropy,7,0.5822552672872565,0.00045911541480288075,6,8,COMPLETE
49,0.3404797151953253,2026-07-12 19:30:38.699634,2026-07-12 19:30:39.554145,0 days 00:00:00.854511,0.0012978125475760767,entropy,6,0.4041031552797864,0.0018742187487040215,2,4,COMPLETE
50,0.3284404671349068,2026-07-12 19:30:39.554434,2026-07-12 19:30:40.457892,0 days 00:00:00.903458,1.078275369359696e-05,entropy,9,0.4798066634952458,0.002875497435062256,4,5,COMPLETE
51,0.35452052935655065,2026-07-12 19:30:40.458135,2026-07-12 19:30:41.521139,0 days 00:00:01.063004,0.0007519485871869338,entropy,11,0.45445532845383235,0.00036553147834647874,1,2,COMPLETE
52,0.36169016254074504,2026-07-12 19:30:41.521999,2026-07-12 19:30:42.648394,0 days 00:00:01.126395,0.00037112431748167145,entropy,13,0.6139093283176844,0.0009695007407137503,2,20,COMPLETE
53,0.3648893513649633,2026-07-12 19:30:42.648718,2026-07-12 19:30:43.819596,0 days 00:00:01.170878,0.0006164755060588556,entropy,10,0.565459228496215,0.0003231302959626458,3,11,COMPLETE
54,0.3518087621674727,2026-07-12 19:30:43.819838,2026-07-12 19:30:44.877549,0 days 00:00:01.057711,0.0009739212103667162,entropy,5,0.5279181340352406,0.0013232085162978126,5,3,COMPLETE
55,0.39509989134523993,2026-07-12 19:30:44.877829,2026-07-12 19:30:46.308620,0 days 00:00:01.430791,0.00014585808469419926,entropy,15,0.500557859889184,6.769589939034874e-05,7,5,COMPLETE
56,0.31237441134037763,2026-07-12 19:30:46.308835,2026-07-12 19:30:47.316774,0 days 00:00:01.007939,0.00021377500573084893,entropy,11,0.43654942534775876,0.00894326317052931,7,5,COMPLETE
57,0.3612766607393277,2026-07-12 19:30:47.317126,2026-07-12 19:30:48.564382,0 days 00:00:01.247256,0.00044293710624042495,entropy,12,0.4945041933555722,0.000826565779059219,6,6,COMPLETE
58,0.3835426734397581,2026-07-12 19:30:48.564623,2026-07-12 19:30:50.080224,0 days 00:00:01.515601,0.00016761410282835058,gini,13,0.5035370976579587,1.2636974541310291e-05,4,8,COMPLETE
59,0.35427265165441346,2026-07-12 19:30:50.080531,2026-07-12 19:30:51.528556,0 days 00:00:01.448025,0.0007075995240552321,gini,15,0.5886270216300439,9.233769999843395e-05,8,8,COMPLETE
60,0.32731380559690987,2026-07-12 19:30:51.528898,2026-07-12 19:30:52.638132,0 days 00:00:01.109234,0.0011640198607823283,gini,13,0.510850633652825,0.0013627666359517145,5,9,COMPLETE
61,0.3577085233408902,2026-07-12 19:30:52.638355,2026-07-12 19:30:53.850679,0 days 00:00:01.212324,0.00016687915182523092,gini,14,0.4776858625963293,0.0003508063924880377,4,7,COMPLETE
62,0.3427909200685177,2026-07-12 19:30:53.850958,2026-07-12 19:30:54.950433,0 days 00:00:01.099475,0.00016532349292701506,gini,13,0.46117911104069675,0.0008788000333463423,3,4,COMPLETE
63,0.3588651589166091,2026-07-12 19:30:54.950755,2026-07-12 19:30:56.568945,0 days 00:00:01.618190,0.00045474077185333686,gini,15,0.4296372572217946,3.858321651831444e-06,6,3,COMPLETE
64,0.37671967604211143,2026-07-12 19:30:56.569166,2026-07-12 19:30:57.876819,0 days 00:00:01.307653,0.0003626983720808751,entropy,12,0.5504587507867612,0.0003670360059142268,1,8,COMPLETE
65,0.3730131371966919,2026-07-12 19:30:57.877119,2026-07-12 19:30:59.215864,0 days 00:00:01.338745,0.0005207950116392172,entropy,14,0.5575682709817141,0.0003283049909218342,7,8,COMPLETE
66,0.35030517829812186,2026-07-12 19:30:59.216143,2026-07-12 19:31:00.448186,0 days 00:00:01.232043,0.0003638314554987379,entropy,14,0.560453405421079,0.00122045505032465,7,10,COMPLETE
67,0.3472122948734108,2026-07-12 19:31:00.448538,2026-07-12 19:31:01.643382,0 days 00:00:01.194844,0.0006211150536826503,gini,14,0.5228021720541582,0.00033361140190880164,8,8,COMPLETE
68,0.34036012648283726,2026-07-12 19:31:01.643698,2026-07-12 19:31:02.795512,0 days 00:00:01.151814,0.0005231259619577057,entropy,15,0.49915554428603015,0.0021439604189404543,9,9,COMPLETE
69,0.3178217564229673,2026-07-12 19:31:02.795789,2026-07-12 19:31:04.097725,0 days 00:00:01.301936,0.0039009381375597002,entropy,13,0.6232854697674739,0.0014368090617436222,4,9,COMPLETE
70,0.3668228954922691,2026-07-12 19:31:04.097991,2026-07-12 19:31:05.528288,0 days 00:00:01.430297,0.0002020692237270973,entropy,12,0.5890060076166538,0.0008190222618557977,7,10,COMPLETE
71,0.3617974532318601,2026-07-12 19:31:05.528589,2026-07-12 19:31:07.011289,0 days 00:00:01.482700,0.0008588574002199005,entropy,14,0.549860526591652,0.00030903152198895307,2,11,COMPLETE
72,0.3618570219233045,2026-07-12 19:31:07.011532,2026-07-12 19:31:08.515607,0 days 00:00:01.504075,0.0007081003290009448,entropy,12,0.5397809571828813,0.0003198031028172451,6,7,COMPLETE
73,0.35519660107776385,2026-07-12 19:31:08.515967,2026-07-12 19:31:09.728951,0 days 00:00:01.212984,0.0002767265898853098,entropy,13,0.5078300500422511,0.0011437014319615987,4,2,COMPLETE
74,0.3548588397005755,2026-07-12 19:31:09.729333,2026-07-12 19:31:10.909289,0 days 00:00:01.179956,0.00044872358547897617,entropy,15,0.4685563333473345,0.0006276745556053229,5,6,COMPLETE
75,0.3589877642605712,2026-07-12 19:31:10.909525,2026-07-12 19:31:12.398318,0 days 00:00:01.488793,0.0010045789830077769,entropy,13,0.5650194375371174,0.00017517583085354,3,8,COMPLETE
76,0.3476839933259043,2026-07-12 19:31:12.398552,2026-07-12 19:31:13.737624,0 days 00:00:01.339072,0.00011266864972418251,entropy,15,0.5271179710427234,0.00164124482832221,1,8,COMPLETE
77,0.3550299569501741,2026-07-12 19:31:13.737878,2026-07-12 19:31:15.062054,0 days 00:00:01.324176,0.0008716987921410793,entropy,14,0.4957697052275446,0.0006783477568327141,10,7,COMPLETE
78,0.3311127208644372,2026-07-12 19:31:15.062271,2026-07-12 19:31:16.324199,0 days 00:00:01.261928,0.0011773956144890646,gini,12,0.548658408944635,0.0010861717394041951,8,2,COMPLETE
79,0.3490797613136354,2026-07-12 19:31:16.324471,2026-07-12 19:31:17.987832,0 days 00:00:01.663361,0.001430506417200889,entropy,14,0.602703767099576,9.73812412290084e-05,1,5,COMPLETE
80,0.3189246358449105,2026-07-12 19:31:17.988168,2026-07-12 19:31:19.084516,0 days 00:00:01.096348,0.003246905811542669,entropy,4,0.6357726879175489,0.0004398605268207611,2,11,COMPLETE
81,0.3706322002417862,2026-07-12 19:31:19.084751,2026-07-12 19:31:20.409320,0 days 00:00:01.324569,0.0002718152486880692,entropy,12,0.5978759629008717,0.0007922531048888571,6,10,COMPLETE
82,0.36916005822850473,2026-07-12 19:31:20.409661,2026-07-12 19:31:21.719662,0 days 00:00:01.310001,0.0003259310577572087,entropy,10,0.5742944703645502,0.0008132697325103634,5,9,COMPLETE
83,0.3771145227085324,2026-07-12 19:31:21.719922,2026-07-12 19:31:23.143657,0 days 00:00:01.423735,0.000523688927056294,entropy,12,0.5933445808961783,0.00047752070915852573,7,12,COMPLETE
84,0.37575589565039336,2026-07-12 19:31:23.143882,2026-07-12 19:31:24.529987,0 days 00:00:01.386105,5.878373712761299e-06,entropy,12,0.5942067340994741,0.0004843491346881745,7,11,COMPLETE
85,0.35869658486705475,2026-07-12 19:31:24.530310,2026-07-12 19:31:25.822672,0 days 00:00:01.292362,7.760642324507685e-05,entropy,12,0.5993600658774413,0.0010105986218209015,7,14,COMPLETE
