number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.4312180856849027,2026-07-12 19:37:58.906761,2026-07-12 19:38:10.941405,0 days 00:00:12.034644,0.8532425988180369,3.0523831528710454,0.025280650144757527,128,1.2708660872316513,7,11.666388748850776,750,2.2059502621028493,3.5956205549661377,0.8310855036089813,COMPLETE
1,0.42963725786186424,2026-07-12 19:38:10.942428,2026-07-12 19:38:22.407442,0 days 00:00:11.465014,0.6174870092389562,4.697041026528685,0.012681366199589815,128,1.1099605879847596,6,20.514695411099403,950,0.4362746308949731,3.5666549317362897,0.7281921628418678,COMPLETE
2,0.42852392550529456,2026-07-12 19:38:22.407849,2026-07-12 19:38:24.732455,0 days 00:00:02.324606,0.7087058721898793,4.339260701587538,0.07615351966505331,512,0.6058162628262553,3,5.119963483473797,150,0.12337710837273906,0.0025225394110893473,0.9784365468715088,COMPLETE
3,0.41015262173966127,2026-07-12 19:38:24.732810,2026-07-12 19:38:29.328445,0 days 00:00:04.595635,0.6214512632282871,2.495278951325294,0.0016344624034792627,128,3.6834837912635288,4,8.601273157191759,400,2.9921237537363496,7.876420525190662,0.7170058103503243,COMPLETE
4,0.42982732592102657,2026-07-12 19:38:29.328886,2026-07-12 19:38:36.010701,0 days 00:00:06.681815,0.8853094678519826,3.035486436227332,0.056512024085510204,512,4.613499513661393,3,12.241339928709191,900,3.7274859759176233,0.001003648105127574,0.6319284330611545,COMPLETE
5,0.43297520576575793,2026-07-12 19:38:36.012018,2026-07-12 19:38:37.992937,0 days 00:00:01.980919,0.9204378052876966,0.8135371142854986,0.2654031761167233,512,2.38368061598813,7,16.090077485012955,100,0.00902764623372013,0.013722858906627366,0.8750257659139884,COMPLETE
6,0.431132330232243,2026-07-12 19:38:37.993305,2026-07-12 19:38:52.775880,0 days 00:00:14.782575,0.6707879928414703,0.3352220702266945,0.00513489188766217,512,8.504079686302438,7,31.902303655178653,950,6.340510179346698,0.002777215742993927,0.9858811891192432,COMPLETE
7,0.4314299731424282,2026-07-12 19:38:52.776414,2026-07-12 19:38:58.646773,0 days 00:00:05.870359,0.664407372165699,2.781207045941101,0.20415572344629837,128,8.35086918513408,8,19.614576962700188,850,0.030582019830418607,0.011048244042211504,0.667267581303267,COMPLETE
8,0.41506953525297263,2026-07-12 19:38:58.647171,2026-07-12 19:39:04.280296,0 days 00:00:05.633125,0.9604604968133099,3.8646864787168624,0.0037881745992145344,32,5.22700330214584,5,20.32736119980669,450,3.0131599084013736,0.1593582370544434,0.6810975688707268,COMPLETE
9,0.4281282076196581,2026-07-12 19:39:04.280775,2026-07-12 19:39:13.807117,0 days 00:00:09.526342,0.8075643432329059,1.0238130692899083,0.006131139966419435,128,9.871643490237368,4,5.948334850136571,800,0.5534812648209269,0.004309461356706629,0.9031050892738658,COMPLETE
10,0.42694527285761863,2026-07-12 19:39:13.807610,2026-07-12 19:39:15.476120,0 days 00:00:01.668510,0.9843692777594027,1.5597319815620216,0.3982467204659369,64,6.225989989432816,10,1.3692164167239107,100,0.0010782898587921588,0.07659495012643681,0.8023514430926364,COMPLETE
11,0.43001936224737475,2026-07-12 19:39:15.476504,2026-07-12 19:39:19.060034,0 days 00:00:03.583530,0.7987315261157109,1.8307133128008077,0.483580836710956,256,7.290281127019353,9,34.739354899793824,600,0.011221535416183651,0.028039566528493872,0.8139042025340129,COMPLETE
12,0.4049683409840865,2026-07-12 19:39:19.060360,2026-07-12 19:39:26.427019,0 days 00:00:07.366659,0.7357976059774347,0.07765631125039052,0.15149988937382092,64,3.1934432576149976,8,3.522006516715334,300,0.013536103585954659,0.015599557564212925,0.6051865218909668,COMPLETE
