original_index,cluster_label
249853,5
12330,4
132835,0
242989,0
214448,0
164489,4
163746,4
81472,3
73259,3
136623,4
198380,4
199781,5
107710,2
135713,5
206923,3
209307,3
21983,2
141410,4
130512,1
15460,5
171374,1
77270,2
22653,5
210149,5
217144,0
79527,0
229836,2
121227,4
216118,0
235987,0
228550,5
194959,5
80913,1
43338,0
96881,5
165820,5
18584,1
42519,3
237195,4
154105,4
131898,2
31724,3
159303,0
104462,5
450,3
73360,5
78965,4
141251,3
142017,2
105806,0
90071,0
230701,3
248703,0
222315,1
75058,5
124615,3
158641,0
243644,4
3804,1
111465,2
213596,2
139933,5
161731,1
235854,0
234343,5
3488,0
28299,3
21343,5
110245,1
227168,5
96992,4
157030,0
197010,0
149140,0
229652,0
148118,3
188618,3
112402,1
160345,5
228695,3
26508,0
78758,3
72844,2
182950,2
189074,4
251436,4
77873,2
222042,3
27639,0
151309,3
133913,4
237544,0
10541,0
128647,2
35842,3
249020,0
161119,3
58463,5
166279,3
242014,2
72544,1
167888,0
209580,5
178893,1
160543,3
97396,0
249133,0
235332,2
200498,3
159291,0
204296,2
232038,2
122994,5
226457,3
224285,1
111436,3
82542,0
85002,4
183495,2
178301,5
214751,0
120137,3
221364,1
220224,0
220671,0
170294,5
195521,3
28696,1
94266,3
71821,3
169121,4
132693,4
211220,5
196931,1
223798,4
148770,4
122164,0
216317,5
181207,1
196934,2
190429,0
217960,0
43031,4
238721,4
76532,4
69437,4
44286,5
67296,3
195895,0
109884,3
195327,4
5495,5
191084,0
95987,3
24146,4
62939,1
16241,4
62800,0
87279,4
21972,0
196364,1
23610,1
142122,2
174855,3
44025,0
147520,2
2045,4
239605,5
184616,4
211079,0
103246,3
183027,4
136362,2
103874,0
166528,2
185530,4
45811,5
212857,1
92609,5
165083,1
32573,0
11449,2
190108,0
20984,3
187970,5
184522,5
246603,3
5957,1
90827,0
206057,5
158504,5
251987,1
110351,0
232290,5
159597,0
18066,5
243898,2
152297,0
133237,5
251435,3
139610,3
249453,1
55640,3
5971,0
45673,3
12916,3
42001,3
51787,1
85234,0
2501,3
204130,4
174738,0
188162,3
152832,0
86559,2
68801,0
219236,1
85069,4
150905,3
169231,3
162076,5
44365,3
111855,4
213250,0
84618,4
160712,1
146235,5
108126,0
87399,1
59841,0
94611,0
158358,4
38437,3
86059,0
9595,1
97056,3
50008,4
77771,0
69158,0
246016,0
175019,1
136643,5
24604,4
74514,5
22709,2
219817,0
68581,0
203964,2
215367,0
120298,0
230678,3
122402,2
165973,3
11215,2
8917,3
9714,5
147456,4
1911,0
128208,5
91443,0
33392,4
58095,5
57232,0
176267,0
135086,0
224972,3
62339,2
166073,0
188311,4
244907,5
230492,4
219128,5
30054,3
69754,3
196974,4
97068,0
131196,4
212311,0
167700,3
45403,3
98799,3
251703,1
9984,0
1661,2
146005,0
143476,5
225325,5
55807,3
222760,2
13645,2
134263,0
152475,0
80706,1
103541,0
96292,5
159178,4
175112,1
133805,4
34800,0
167067,5
104961,4
243911,4
32307,0
197340,1
132356,3
232867,3
235100,1
33378,0
85183,4
44560,5
106040,3
182442,1
85544,1
169201,5
82300,4
242803,0
123149,4
37478,4
222366,2
183570,5
106958,3
59105,3
146023,4
68678,4
43683,0
28993,5
118543,2
97963,3
92710,0
223307,5
164627,4
218357,0
245443,1
166877,4
156006,4
218556,5
20687,3
184212,5
176176,3
241856,5
49549,3
192542,0
238327,1
228224,0
130295,2
149999,0
181044,0
100560,4
18026,0
140944,4
139107,4
70145,0
31052,5
189355,2
123573,0
149468,0
250372,3
47612,0
206773,4
204596,0
157296,5
691,5
234852,4
105966,4
217901,1
89831,4
162514,0
158451,0
183447,3
123472,0
17620,0
3341,0
114172,4
80906,4
35899,2
49542,0
55477,1
110181,1
116473,0
221194,4
165605,3
203582,5
220230,5
135157,0
202807,0
173522,5
162641,0
162030,5
167717,3
56787,4
47266,0
87005,2
27066,0
239687,0
107663,1
98321,5
51763,3
124835,4
71179,1
203281,4
120952,2
119789,0
72099,4
212709,0
166096,3
163383,5
210399,2
69637,0
188358,2
10814,1
186764,4
133964,4
114634,5
180019,2
163999,3
32356,1
89817,0
15857,4
143836,3
251150,1
140714,3
224543,0
235459,4
157800,2
25509,3
237661,5
246745,4
230093,2
111879,2
233709,1
54546,2
104250,0
60479,0
12569,3
96431,5
168162,0
126989,3
185286,2
118808,5
107475,0
135549,4
151337,4
162012,4
150058,1
217535,0
42399,4
78629,1
247405,1
76343,0
212873,2
14746,0
192658,1
224026,0
86613,4
219729,5
247119,5
179391,1
14477,4
124544,5
142979,3
138834,0
105904,5
119928,4
147675,5
117449,0
6129,1
14757,5
147183,0
199260,5
145499,5
63044,4
182441,4
242121,5
204716,4
22796,5
16218,2
220842,5
102698,1
154411,2
93946,0
212118,5
85777,2
50130,2
135288,2
236634,2
237110,5
141894,2
46693,3
248721,1
241686,2
125434,2
176625,1
208113,0
42127,5
21038,3
180363,2
49264,1
114368,0
125380,4
41188,3
11852,2
215656,4
89108,5
28264,0
120905,0
232836,3
25072,1
76048,4
104559,2
15635,4
191276,0
139959,0
33516,5
54092,0
94362,2
202641,5
138343,4
230487,4
251022,2
247890,3
208057,3
238454,0
63090,1
181339,0
138738,3
52366,2
63394,5
58208,0
70018,1
62240,1
33018,5
71890,3
83269,1
128321,1
161087,2
206783,5
179853,5
53199,3
126726,2
39789,3
94759,5
140866,5
63168,0
203135,3
47711,5
207602,5
38393,2
36164,3
94996,5
85814,4
70873,5
56301,2
2009,4
12465,4
197830,0
119726,0
252864,4
110206,0
193041,0
231313,3
157908,3
102133,3
123056,3
18228,2
146162,0
204400,5
34104,5
142962,1
2682,2
131942,0
142642,3
253026,0
189641,0
118060,4
7273,4
105960,5
167312,1
157222,2
233272,2
32798,1
45568,2
142924,0
80780,5
166081,4
85314,2
104701,0
158116,4
170529,1
70917,3
81687,3
140084,4
9051,2
221455,0
15726,0
209005,2
2286,1
160386,1
57175,5
25159,0
107936,0
112973,5
162296,0
224134,4
114984,0
175364,3
97103,1
57041,3
108288,0
100250,3
235143,0
38333,5
95991,3
28742,5
67485,3
31934,5
105778,4
172163,4
20926,4
128151,5
78657,0
235020,0
53760,0
53420,1
88659,1
180376,3
56283,0
49130,2
194785,2
221835,4
122133,0
210150,5
170666,0
51759,0
10340,0
203655,3
19641,1
105770,0
14890,2
131253,4
49107,5
17537,3
200108,4
169530,3
240176,4
15275,1
37878,3
244718,5
231694,1
59703,4
70664,5
105461,0
220545,3
186177,2
161801,2
188405,1
192663,3
216207,1
33686,4
193133,3
60017,0
218850,0
40363,0
50583,0
77597,0
248393,3
187343,4
228996,5
132323,4
6920,5
67344,5
188892,0
210114,1
153614,0
166367,0
57623,0
136754,5
2975,4
103055,3
98470,4
244198,4
36187,2
166581,4
72277,3
20535,5
235401,1
175941,1
58579,0
55235,2
28078,5
612,4
57925,4
248546,3
87087,0
117409,3
186590,2
162507,4
150247,0
63761,3
134876,0
101773,3
210301,1
11468,4
145594,0
78297,5
170969,0
56295,1
115213,0
152148,0
64547,3
158430,5
61080,3
205490,0
1311,4
137301,0
174642,4
50907,3
107975,0
137148,1
194830,1
38482,2
137647,3
184812,0
221416,5
69659,4
151349,2
142567,5
180783,3
221402,5
215740,2
191840,0
8269,4
24591,5
52941,1
