number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_max_depth,params_max_features,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,state
0,0.2679704914998237,2026-06-13 23:11:52.448576,2026-06-13 23:11:53.232595,0 days 00:00:00.784019,0.0032748322944379776,entropy,3,0.5073516086942953,0.007872367661437235,8,2,COMPLETE
1,0.25670926531598093,2026-06-13 23:11:53.233383,2026-06-13 23:11:54.101397,0 days 00:00:00.868014,0.0049492731205216705,gini,15,0.7633714966431897,0.004537456990382522,11,14,COMPLETE
2,0.2679704914998237,2026-06-13 23:11:54.102163,2026-06-13 23:11:55.232569,0 days 00:00:01.130406,0.00480231824599238,entropy,10,0.9927159453649829,0.00955425917684365,16,6,COMPLETE
3,0.21273152785583038,2026-06-13 23:11:55.233442,2026-06-13 23:11:55.932221,0 days 00:00:00.698779,0.0009835569550522521,gini,8,0.687474640071221,0.006740653258677544,2,20,COMPLETE
4,0.21273152785583038,2026-06-13 23:11:55.932803,2026-06-13 23:11:56.597762,0 days 00:00:00.664959,0.0027719206383478136,entropy,10,0.47562785392500473,0.008654324218304053,20,18,COMPLETE
5,0.31876459753013536,2026-06-13 23:11:56.598374,2026-06-13 23:11:57.745666,0 days 00:00:01.147292,4.008041350799019e-05,entropy,5,0.646042891869165,0.0019355957765553344,11,20,COMPLETE
6,0.25670926531598093,2026-06-13 23:11:57.746497,2026-06-13 23:11:58.543450,0 days 00:00:00.796953,0.0037690591332327572,gini,10,0.5758632292620568,0.006019177322558378,18,9,COMPLETE
7,0.25670926531598093,2026-06-13 23:11:58.544156,2026-06-13 23:11:59.457139,0 days 00:00:00.912983,0.0022454700069808402,gini,9,0.9769756604699507,0.004695518493154517,11,12,COMPLETE
8,0.310199190896614,2026-06-13 23:11:59.457552,2026-06-13 23:12:01.232949,0 days 00:00:01.775397,0.0021486381020664204,entropy,12,0.9901360883238128,0.0006272698682859523,7,6,COMPLETE
9,0.2971734667595475,2026-06-13 23:12:01.233514,2026-06-13 23:12:02.420546,0 days 00:00:01.187032,0.004696019134618591,entropy,4,0.9355855227494781,0.0039971008503064676,8,9,COMPLETE
10,0.3644354173974941,2026-06-13 23:12:02.420986,2026-06-13 23:12:03.499975,0 days 00:00:01.078989,5.4898146115695696e-05,entropy,6,0.40100254347990627,0.0001015562107276706,1,15,COMPLETE
11,0.36862934245675427,2026-06-13 23:12:03.500823,2026-06-13 23:12:04.842307,0 days 00:00:01.341484,4.375860407954964e-05,entropy,6,0.6495021460962473,0.0002879961145242447,3,16,COMPLETE
