feature,importance,rank
GenHlth,0.42963441610919456,1
HighBP,0.23318677994063294,2
BMI,0.1161053912957211,3
Age,0.11035204073255625,4
HighChol,0.04762453447804684,5
Income,0.011929884224054558,6
Sex,0.008482560869468164,7
HvyAlcoholConsump,0.00834958078828063,8
CholCheck,0.006471334016153603,9
HeartDiseaseorAttack,0.006051478097835346,10
MentHlth,0.004630196980822194,11
DiffWalk,0.004316219943239268,12
PhysHlth,0.004307631880723513,13
Education,0.0031551215321526695,14
Smoker,0.0012586682530072483,15
Stroke,0.001079259447394443,16
Fruits,0.0010641147307383426,17
PhysActivity,0.0009486981821887338,18
Veggies,0.0005330180333110373,19
NoDocbcCost,0.0005190704644783528,20
AnyHealthcare,0.0,21
