feature,importance_mean,importance_std,rank
BMI,0.07930126181115442,0.00270509761360232,1
GenHlth,0.07634163094296188,0.0028093940950777783,2
Age,0.036384760457140966,0.002106435575934348,3
HighBP,0.032808041124083684,0.0024848854180169844,4
HighChol,0.024106401279503555,0.0020478880139594576,5
HvyAlcoholConsump,0.005823477936014705,0.0012010966179160163,6
HeartDiseaseorAttack,0.004862909767621686,0.0006413723731097605,7
Sex,0.004758628249478612,0.0006514418468541408,8
Income,0.0043082661132309965,0.0006031480568683348,9
CholCheck,0.004193768277547683,0.0008257901935425762,10
DiffWalk,0.0023091665991871193,0.0004528682545507244,11
Stroke,0.0015164068207958903,0.0002537871085634953,12
MentHlth,0.0007737946740663471,0.000401361312530822,13
Education,0.00047985518306432494,0.00014350705623954524,14
PhysHlth,0.00039115102346469423,0.00024811107475781503,15
Smoker,0.000283688581947088,0.00012928242613506987,16
Fruits,0.00017544873494078296,9.819135423324988e-05,17
PhysActivity,0.00015518021151562756,0.0001240818144574873,18
NoDocbcCost,6.1506617270759e-05,0.00015510248084736584,19
AnyHealthcare,4.02942327693967e-05,3.679885173802018e-05,20
Veggies,4.0254329288671455e-05,5.3899924704817905e-05,21
