number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3881538581345705,2026-06-14 11:44:44.239297,2026-06-14 11:44:46.727815,0 days 00:00:02.488518,0.7336965109951192,4.487250383183467,0.0017395836700465595,128,8.609276108267105,3,1.7185093220925296,100,0.0021035962597516404,0.6805042577044649,0.8762851099952316,COMPLETE
1,0.40967272289527823,2026-06-14 11:44:46.729073,2026-06-14 11:44:52.778595,0 days 00:00:06.049522,0.8187551880842013,3.1138316159409216,0.0038603296336352454,512,2.2088035965473796,3,2.325672202997012,650,0.5085604340348834,0.0027001171991069303,0.6932218399619614,COMPLETE
2,0.4138830888224141,2026-06-14 11:44:52.779519,2026-06-14 11:44:59.327710,0 days 00:00:06.548191,0.7911614497066362,0.09631723090059607,0.004545609507592599,64,5.395328407457534,3,20.485171398065017,850,0.10930343095154485,0.040004044984128725,0.9377153810324746,COMPLETE
3,0.41949735808545113,2026-06-14 11:44:59.328259,2026-06-14 11:45:24.853049,0 days 00:00:25.524790,0.8627406853234234,3.8413734840921814,0.0017791429036237195,512,5.854602268903334,8,1.5721914806975226,900,1.819975054335089,0.003006325397383438,0.8582837906690373,COMPLETE
4,0.4230621013348174,2026-06-14 11:45:24.853990,2026-06-14 11:45:27.919697,0 days 00:00:03.065707,0.6957700632573646,0.8870939329965494,0.14766360264683295,256,9.021024408840274,5,18.5670188121394,400,4.951995617528496,0.1018793408741699,0.9965810439376565,COMPLETE
5,0.4221313761369495,2026-06-14 11:45:27.920235,2026-06-14 11:45:30.295271,0 days 00:00:02.375036,0.83056884305173,3.65551279134285,0.16147937530951198,256,6.522726201851665,4,2.847738531422427,350,0.3379527175906452,0.0026847090122815546,0.9197145558437303,COMPLETE
6,0.4211411499662163,2026-06-14 11:45:30.295818,2026-06-14 11:45:46.641288,0 days 00:00:16.345470,0.6524552483018328,2.1051654601874055,0.0029194417688181247,512,9.545037244812658,8,4.901502161481214,600,0.1251723420608142,0.0013119863229189392,0.9070306913347042,COMPLETE
7,0.4226443189745142,2026-06-14 11:45:46.642279,2026-06-14 11:45:50.875380,0 days 00:00:04.233101,0.6415272104944959,3.0820106896200965,0.04161338345457836,64,9.608845404044558,7,2.5106804749412,300,0.0145185296124175,4.616683176471007,0.8090075007202243,COMPLETE
8,0.40741074187336207,2026-06-14 11:45:50.876503,2026-06-14 11:45:56.097306,0 days 00:00:05.220803,0.8769612286907068,2.0469205677212154,0.19961314638427144,512,4.9016966606821635,8,3.55791432215308,700,0.11186904991857843,0.2480141749089264,0.8217666342425334,COMPLETE
9,0.4091956511782155,2026-06-14 11:45:56.097832,2026-06-14 11:45:58.237721,0 days 00:00:02.139889,0.9685777991565717,1.7726281110131121,0.0035526006386852912,32,3.1536594062821055,6,4.570760609632941,100,0.19061777367041233,0.06451996944274008,0.613420783369158,COMPLETE
