feature,importance,rank
HighBP,0.4275403,1
GenHlth,0.14488833,2
HighChol,0.061574973,3
DiffWalk,0.052508444,4
BMI,0.046975594,5
CholCheck,0.039466377,6
HvyAlcoholConsump,0.038223065,7
Age,0.037032124,8
HeartDiseaseorAttack,0.022502158,9
Income,0.01735519,10
Sex,0.014452524,11
Stroke,0.012961779,12
PhysHlth,0.011274287,13
MentHlth,0.011049065,14
Education,0.010006006,15
PhysActivity,0.009885598,16
Fruits,0.008757132,17
Veggies,0.008556841,18
Smoker,0.008505706,19
NoDocbcCost,0.008437047,20
AnyHealthcare,0.008047402,21
