feature,importance,rank
HighBP,0.4148599,1
GenHlth,0.14166166,2
HighChol,0.07272831,3
CholCheck,0.050512336,4
BMI,0.049455654,5
HvyAlcoholConsump,0.047456156,6
Age,0.04043228,7
DiffWalk,0.03708332,8
HeartDiseaseorAttack,0.026010737,9
Income,0.014011232,10
Sex,0.013280755,11
Stroke,0.012199152,12
PhysHlth,0.009849301,13
Education,0.009584364,14
AnyHealthcare,0.009510448,15
MentHlth,0.009142947,16
NoDocbcCost,0.009136554,17
PhysActivity,0.0088278325,18
Smoker,0.008219361,19
Fruits,0.008107698,20
Veggies,0.007929966,21
