feature,importance_mean,importance_std,rank
GenHlth,0.08220431175803153,0.002745422031769117,1
BMI,0.07217513872564925,0.0022497199437693676,2
HighBP,0.04053120399395596,0.0027054428251130067,3
Age,0.03180500711863551,0.0016023000666060877,4
HighChol,0.029166495162780418,0.0021035639475569133,5
HvyAlcoholConsump,0.004308884051810571,0.0011009519501409546,6
DiffWalk,0.0025687766478766473,0.0007651374403937746,7
Income,0.002416543813905109,0.0005144068372274499,8
HeartDiseaseorAttack,0.0019696992451101003,0.0004634628864339276,9
Sex,0.0010956536958964137,0.0003806474984724499,10
CholCheck,0.0008637196051564933,0.00021730119967262429,11
PhysHlth,0.00042015749978107866,0.00014602035080632232,12
Smoker,0.0003336569376241283,0.00017339190462209835,13
Stroke,0.00021524829767777476,0.00012300620440122218,14
NoDocbcCost,2.3753772447221432e-05,2.5694477027136435e-05,15
MentHlth,2.127854082117575e-05,8.856697051529864e-05,16
Veggies,1.6381692950664383e-05,1.437845501883581e-05,17
AnyHealthcare,0.0,0.0,18
Fruits,-6.75466031055838e-06,2.5480254118158865e-05,19
PhysActivity,-3.991006932593133e-05,4.202304251090641e-05,20
Education,-4.7871526598178837e-05,8.123123494418227e-05,21
